feature,importance
doy_cos,0.09740760615260492
aqi_roll_mean_168,0.0776028613883053
pressure_roll_mean_24,0.05564833904397689
month_cos,0.0540390539824207
temperature_roll_mean_24,0.04312337752388626
doy_sin,0.04172831042893055
aqi_ewm_72,0.04009982231609673
pm25,0.03794044311285325
pm25_roll_max_72,0.03785262610806175
hours_since_aqi_spike,0.03260520366765345
pressure,0.03232238670242297
aqi_roll_max_72,0.03209286367446916
pm25_roll_mean_72,0.030365377800543006
humidity_roll_mean_24,0.030137341662526754
pressure_lag_1,0.028937919859897795
so2_roll_mean_24,0.028813871119133024
pm25_lag_1,0.027327422050379052
aqi_roll_mean_72,0.025569491068321883
pm25_roll_median_72,0.025227732737757445
co_roll_mean_24,0.02446810249032287
aqi_lag_1,0.023892423337987353
pm25_fraction,0.022727881185810813
pm25_pm10_ratio,0.022593889440018222
pm25_lag_72,0.021465326877934957
pm25_roll_max_24,0.02044578660248617
pm25_lag_48,0.020278386217983068
aqi_lag_72,0.01817356675462496
aqi_roll_max_24,0.01602801887538542
pm25_lag_2,0.015719484108773076
co,0.015365083708431976
