feature,abs_coef
wind_gusts_roll_max_24,4.657067917120494
aqi_roll_max_168,4.642178985339388
spike_count_72h,4.077675139810275
pm25,3.8189895314058235
co_roll_mean_24,3.398869988249316
aqi_lag_72,2.9338972272304606
aqi_roll_std_72,2.896685338819428
month_cos,2.5275977418823365
aqi_lag_24,2.4331178129841105
aqi_roll_std_168,2.4243096841819574
pm25_roll_std_24,2.328213349384688
so2_roll_mean_24,2.1205570832711294
pm25_roll_mean_168,2.11139995285039
o3_roll_std_24,2.0171120775193057
pm25_pm10_ratio,1.982759775314067
pm25_roll_mean_336,1.979669078972203
doy_cos,1.9792729668706879
aqi_zscore_72h,1.9368852085736517
weekday_sin,1.6760817565425754
aqi_trend_ratio,1.6676682030743768
aqi_lag_168,1.6001342817059137
aqi_recovery_rate,1.5671580898136963
pm10,1.5205837655200478
aqi_roll_max_72,1.5189560767240866
o3,1.508977464471639
temp_humidity,1.50428358462082
pm25_lag_72,1.479584610585856
month_sin,1.4348174602457324
temperature_roll_mean_24,1.4191371392010133
aqi_lag_1,1.4031859941020504
no2_change_24h,1.3800171670386114
pressure,1.3742378842328384
wind_dir_sin,1.333629175784989
wind_speed,1.3071182610689291
aqi_lag_12,1.3010260154405544
wind_speed_lag_24,1.2762721751304182
aqi_roll_max_24,1.2672358450889472
aqi_lag_336,1.256278006060602
pm25_lag_24,1.2083653116421351
pm25_roll_std_72,1.188884407044474
wind_speed_lag_6,1.1782457513884577
pm10_lag_24,1.1723507784303167
wind_x,1.159273040865266
wind_gusts,1.1550909231285333
temperature,1.1521659483818918
pressure_change_24h,1.1204364895583678
aqi_same_hour_30days_ago,1.098489967973193
aqi_roll_min_24,1.0888367986535126
wind_speed_change_24h,1.0718072851503468
humidity_lag_6,1.0555616850715577
pm25_lag_48,1.0547577773073264
weekday_cos,1.0494720657613659
temperature_lag_6,1.0442946870058507
hour_cos,1.0300814037838344
aqi_roll_min_168,1.006573888580618
pm25_roll_std_336,0.9826449115750266
humidity_roll_mean_24,0.9762612588134808
wind_dispersal,0.9459106961716626
temperature_change_24h,0.9437446773836261
no2_roll_mean_24,0.8924236122715803
hours_since_aqi_spike,0.8403343312809503
no2,0.824183637162909
aqi_lag_6,0.8217681054044456
aqi_trend_slope_6h,0.8149458877440303
no2_roll_std_24,0.813502126224029
aqi_diff_24_168,0.8100557488842354
humidity_change_24h,0.7903880804797341
so2_change_24h,0.7707961674462319
aqi_volatility_ratio,0.7677712911065495
wind_direction,0.7610058615626559
aqi_persistence_ratio,0.7586157481379834
is_weekend,0.7531226724682075
pm25_lag_12,0.7353027561004586
rain_72h,0.6927879570344933
wind_y,0.6856426667224531
co,0.6788231461138564
aqi_lag_48,0.6381994901174695
aqi_momentum_24_168,0.5974437277667503
pm25_roll_std_6,0.5883409402224361
pm25_lag_336,0.5701849762557091
aqi_change_1h,0.5663476991616647
pm10_roll_mean_72,0.5580578252083919
pm25_vs_72h_avg,0.5512195837334387
consecutive_hours_above_150,0.5474077552697679
pm25_roll_mean_72,0.5466920597864425
dust_event,0.486632434166358
cloud_cover,0.481492167209394
pm25_roll_std_168,0.46378356882009736
so2,0.45714606300666494
pm10_roll_std_24,0.4570202474616771
aqi_percentile_72,0.4485435539178811
aqi_change_6h,0.4386150473469608
o3_change_24h,0.4334300789514265
pm25_vs_24h_avg,0.42577025357574694
aqi_above_recent_q90,0.423301923884088
pm25_change_24h,0.4190317032234634
pm25_lag_6,0.41372042386020547
humidity_lag_24,0.40033796141685274
hour_sin,0.3802582648741872
aqi_roll_min_72,0.3770016666497876
co_change_24h,0.3761933484933534
aqi_regime,0.3738091955389249
dust_hours_72h,0.35151741272967074
aqi_momentum_6_24,0.34309208228519095
aqi_change_24h,0.3360847731547939
cloud_cover_roll_mean_24,0.3354262527130502
pm25_roll_mean_24,0.3195471260471594
o3_roll_mean_24,0.3030118818935633
cloud_cover_lag_1,0.29195977045688326
rain_24h,0.28785971450059655
pm10_roll_mean_24,0.280659593019567
temperature_roll_std_24,0.26440815847380666
wind_speed_roll_std_24,0.23966354997820416
pm25_lag_168,0.20603991830313453
pm25_roll_max_24,0.19592196572408496
wind_dir_cos,0.18548213390345344
is_rush_hour,0.144567630390609
heat_dryness,0.1423448427595463
quarter,0.14046784250345076
pm10_lag_72,0.12507057918948059
no2_o3_ratio,0.07597690532180706
aqi_acceleration,0.05610673163033244
pm10_lag_6,0.04280226807903572
precipitation,0.042616456988902846
humidity,0.038765616337366526
wind_speed_roll_mean_24,0.02481013025720565
aqi_roll_mean_48,0.020180610161714123
pm10_change_24h,0.017987063263500407
aqi_roll_std_24,0.004114783868995393
