feature,native_weight,importance_gain
temperature,0.000573907,1458.224609375
humidity,0.0006653008,1690.4447021484375
pressure,0.0022320554,5671.36865234375
wind_speed,0.0004382387,1113.5087890625
wind_direction,0.00087482925,2222.829833984375
wind_gusts,0.0010374426,2636.009521484375
precipitation,0.00021102169,536.1792602539062
cloud_cover,0.0013332121,3387.5224609375
pm25,0.021232136,53948.15625
pm10,0.0028579298,7261.63623046875
co,0.010356029,26313.3515625
no2,0.0057761306,14676.4130859375
so2,0.0018800027,4776.84765625
o3,0.007088586,18011.1953125
hour_sin,0.0017123455,4350.85205078125
hour_cos,0.0024927238,6333.69384765625
month_sin,0.005786544,14702.8720703125
month_cos,0.28861868,733343.375
weekday_sin,0.004323683,10985.9287109375
weekday_cos,0.0028749278,7304.82568359375
week_of_year,0.008385567,21306.658203125
quarter,0.0,0.0
doy_sin,0.013376985,33989.21484375
doy_cos,0.03976459,101036.765625
is_weekend,0.0009696183,2463.6767578125
is_rush_hour,0.0007822015,1987.474365234375
wind_dir_sin,0.00170786,4339.455078125
wind_dir_cos,0.00059892866,1521.801513671875
wind_x,0.001990844,5058.4814453125
wind_y,0.0013615068,3459.41552734375
aqi_lag_1,0.009921881,25210.23828125
aqi_lag_2,0.0011621054,2952.76171875
aqi_lag_3,0.00044560258,1132.219482421875
aqi_lag_6,0.0010919974,2774.626220703125
aqi_lag_7,0.0010408474,2644.660888671875
aqi_lag_12,0.0008121035,2063.45166015625
aqi_lag_24,0.0015509975,3940.88720703125
aqi_lag_48,0.0028588495,7263.97265625
aqi_lag_72,0.0023198929,5894.552734375
aqi_lag_168,0.0019138474,4862.8427734375
aqi_lag_336,0.0028950004,7355.82763671875
aqi_same_hour_yesterday,0.0033634584,8546.1201171875
aqi_same_hour_last_week,0.0015624769,3970.054931640625
aqi_same_hour_2weeks_ago,0.0055684233,14148.6552734375
aqi_same_hour_3days_ago,0.0014122025,3588.226806640625
aqi_same_hour_30days_ago,0.005812925,14769.90234375
aqi_same_day_last_year,0.0022547673,5729.07666015625
pm25_lag_1,0.014029868,35648.109375
pm25_lag_2,0.0015014963,3815.111083984375
pm25_lag_3,0.0006601367,1677.3233642578125
pm25_lag_6,0.0031420274,7983.49169921875
pm25_lag_12,0.0018253173,4637.89892578125
pm25_lag_24,0.005776202,14676.59375
pm25_lag_48,0.00264881,6730.2890625
pm25_lag_72,0.0022152746,5628.73095703125
pm25_lag_168,0.004029092,10237.41015625
pm25_lag_336,0.008036582,20419.931640625
pm25_roll_mean_6,0.001961453,4983.80224609375
pm25_roll_std_6,0.00053095503,1349.0892333984375
pm25_roll_mean_24,0.0035139474,8928.4931640625
pm25_roll_std_24,0.002045781,5198.06884765625
pm25_roll_mean_72,0.0048017567,12200.6533203125
pm25_roll_std_72,0.003922268,9965.9833984375
pm25_roll_mean_168,0.00482169,12251.30078125
pm25_roll_std_168,0.0052508777,13341.8125
pm25_roll_mean_336,0.022804642,57943.6953125
pm25_roll_std_336,0.012955138,32917.359375
pm25_roll_max_24,0.0040142206,10199.6240234375
pm25_roll_max_72,0.012213597,31033.1953125
pm25_ewm_24,0.0024745467,6287.50830078125
pm25_change_24h,0.0006016444,1528.7017822265625
pm25_vs_24h_avg,0.0025818862,6560.24462890625
pm25_vs_72h_avg,0.006497155,16508.443359375
pm10_lag_1,0.0022704755,5768.9892578125
pm10_lag_6,0.0018145451,4610.5283203125
pm10_lag_24,0.0028119367,7144.7734375
pm10_lag_72,0.0042325216,10754.298828125
pm10_roll_mean_24,0.0037884943,9626.08203125
pm10_roll_mean_72,0.005787972,14706.5
pm10_roll_std_24,0.0030669258,7792.66845703125
pm10_change_24h,0.0015578088,3958.194091796875
dust_event,0.0,0.0
aqi_roll_mean_6,0.0026064054,6622.54443359375
aqi_roll_mean_12,0.0011757686,2987.478271484375
aqi_roll_mean_24,0.004404318,11190.8115234375
aqi_roll_mean_48,0.0035553328,9033.6484375
aqi_roll_mean_72,0.0055640573,14137.5615234375
aqi_roll_mean_168,0.0065130726,16548.888671875
aqi_roll_mean_336,0.011202163,28463.271484375
aqi_roll_std_24,0.002503098,6360.0537109375
aqi_roll_max_24,0.0033217417,8440.123046875
aqi_roll_min_24,0.0045804405,11638.31640625
aqi_roll_std_72,0.0040735602,10350.3984375
aqi_roll_max_72,0.02716287,69017.3984375
aqi_roll_min_72,0.005818149,14783.1767578125
aqi_roll_std_168,0.0063839178,16220.72265625
aqi_roll_max_168,0.009712182,24677.41796875
aqi_roll_min_168,0.0074109808,18830.359375
aqi_ewm_24,0.0018782705,4772.4462890625
aqi_ewm_72,0.004176536,10612.046875
aqi_trend_ratio,0.0012123518,3080.431640625
pm25_trend_ratio,0.0025869955,6573.2265625
aqi_momentum_6_24,0.0016274049,4135.02880859375
aqi_momentum_24_72,0.0037683325,9574.853515625
aqi_momentum_24_168,0.0021622446,5493.98828125
aqi_change_1h,0.0012929125,3285.126220703125
aqi_change_6h,0.002161411,5491.87060546875
aqi_change_24h,0.0026592214,6756.7431640625
aqi_trend_slope_6h,0.0004109118,1044.0745849609375
aqi_acceleration,0.00017330585,440.3481140136719
aqi_persistence,0.0018667858,4743.26513671875
aqi_diff_24_168,0.002159738,5487.619140625
aqi_recovery_rate,0.0023361042,5935.7431640625
aqi_persistence_ratio,0.0049426127,12558.5498046875
aqi_vs_week,0.001843556,4684.2412109375
aqi_zscore_72h,0.002670637,6785.7490234375
aqi_percentile_72,0.001445379,3672.524169921875
aqi_above_recent_q90,0.0011905143,3024.9453125
aqi_volatility_ratio,0.0022196458,5639.83740234375
aqi_regime,0.0,0.0
spike_count_72h,0.006492076,16495.5390625
dust_hours_72h,0.0054339683,13807.021484375
hours_since_aqi_spike,0.0168222,42743.0703125
consecutive_hours_above_150,0.0025923061,6586.72021484375
so2_roll_mean_24,0.004674535,11877.3974609375
so2_change_24h,0.002375006,6034.587890625
