feature,importance
aqi_lag_1,0.08611886
doy_cos,0.0785888
pm25,0.04936827
pm25_lag_1,0.035226166
month_cos,0.033433612
aqi_lag_72,0.025647473
aqi_same_hour_yesterday,0.020086017
pm25_roll_max_72,0.016408948
aqi_roll_mean_168,0.015565064
pm25_lag_72,0.014355787
pm25_fraction,0.014231598
aqi_roll_max_72,0.0139430305
aqi_change_6h,0.012435645
co,0.012024569
month_sin,0.011680362
aqi_same_hour_last_week,0.011658222
pm25_roll_mean_72,0.011277959
pm25_pm10_ratio,0.0107171275
aqi_roll_min_72,0.010657672
o3,0.010298162
no2,0.010053234
pm25_roll_median_72,0.009947484
doy_sin,0.009861259
pm25_lag_48,0.00975411
temperature_roll_mean_24,0.009589868
hours_since_aqi_spike,0.009337103
humidity_lag_24,0.00914243
humidity_roll_mean_24,0.009116783
so2_roll_mean_24,0.008975114
aqi_roll_std_24,0.008863066
aqi_persistence,0.008486714
aqi_roll_mean_24,0.008471293
aqi_same_hour_2weeks_ago,0.008230359
aqi_ewm_72,0.007993428
aqi_roll_std_72,0.007937797
aqi_lag_2,0.007886903
aqi_lag_24,0.007845485
aqi_roll_mean_72,0.007804157
no2_o3_ratio,0.0074432576
aqi_roll_max_24,0.007191243
pm10_roll_mean_72,0.006712815
hour_cos,0.006683235
pressure_roll_mean_24,0.006556878
pm25_lag_24,0.00641426
pm10_roll_std_24,0.0062673073
so2,0.0061771004
pm10_roll_mean_24,0.0060175937
aqi_roll_mean_48,0.005996238
heat_dryness,0.0059525203
pm25_roll_std_72,0.0059510716
aqi_roll_min_24,0.005872769
pm25_lag_336,0.0058586355
aqi_roll_median_72,0.005787289
temperature_roll_std_24,0.005700089
pm25_roll_median_24,0.0056839427
aqi_momentum_24_72,0.0056127687
aqi_zscore_72h,0.005584024
wind_speed_roll_mean_24,0.0055018556
temperature_lag_1,0.0054938956
co_roll_mean_24,0.0054832087
o3_roll_mean_24,0.0054505523
aqi_change_24h,0.0054061757
no2_roll_std_24,0.005332406
hour_of_week_cos,0.0051938645
rain_72h,0.0051704887
weekday_cos,0.0051325588
aqi_lag_336,0.0050959224
pressure_change_24h,0.005071473
pm10,0.0049327766
o3_roll_std_24,0.004904472
aqi_lag_168,0.0048601753
wind_speed_lag_24,0.0048438436
pm10_lag_1,0.004840403
aqi_roll_median_24,0.0047473637
pm25_lag_168,0.004711098
weekday_sin,0.00452012
pm25_roll_std_24,0.0044180257
pressure_lag_1,0.0043591377
pm10_lag_72,0.004247489
temperature,0.0042031608
temperature_lag_24,0.004141923
aqi_lag_7,0.004041422
no2_roll_mean_24,0.003990982
humidity_lag_1,0.0039312528
aqi_lag_48,0.0038676227
aqi_volatility_72,0.0035969396
wind_dispersal,0.0035938402
wind_speed,0.0035550138
pm10_lag_6,0.0035097345
pm25_roll_max_24,0.0035052705
wind_speed_lag_1,0.003488678
hour_sin,0.0034606226
aqi_momentum_24_168,0.0034430553
temperature_lag_6,0.0034138693
aqi_ewm_24,0.0033858768
wind_speed_lag_6,0.003360071
hour_of_week_sin,0.003324725
pm25_change_24h,0.003193232
wind_speed_roll_std_24,0.0031376295
no2_change_24h,0.0030532903
consecutive_hours_above_150,0.0030327488
pressure,0.003029844
aqi_volatility_24,0.0026760155
temp_humidity,0.002613634
rain_24h,0.00248758
aqi_roll_mean_12,0.0023617842
o3_change_24h,0.0023236764
pm25_roll_mean_24,0.002311298
humidity,0.0020923063
pm25_lag_12,0.0019513271
co_change_24h,0.0019139488
pm10_lag_24,0.001829547
so2_change_24h,0.0018115178
pm25_lag_2,0.0017987731
aqi_lag_12,0.0016591843
pm10_change_24h,0.0016382728
pm25_lag_3,0.0015973431
pm25_ewm_24,0.001408611
aqi_roll_mean_6,0.001405644
humidity_lag_6,0.0013515099
aqi_momentum_6_24,0.0012499051
aqi_lag_3,0.0011264208
pm25_lag_6,0.0007205337
aqi_change_1h,0.00020998495
is_rush_hour,0.0
is_weekend,0.0
aqi_lag_6,0.0
precipitation,0.0
aqi_above_recent_q90,0.0
dust_event,0.0
