actual,predicted,residual
109.0,107.48545,1.5145492553710938
95.0,111.9125,-16.912498474121094
89.0,108.59869,-19.59868621826172
97.0,108.962654,-11.962654113769531
124.0,115.63939,8.360610961914062
152.0,123.83359,28.166412353515625
105.0,123.31568,-18.31568145751953
83.0,122.3553,-39.35530090332031
81.0,119.441696,-38.44169616699219
79.0,111.48326,-32.48326110839844
78.0,110.95668,-32.95668029785156
77.0,110.461395,-33.461395263671875
76.0,110.95347,-34.953468322753906
73.0,107.23725,-34.23725128173828
72.0,104.85856,-32.858558654785156
80.0,125.20858,-45.208580017089844
91.0,134.32492,-43.324920654296875
99.0,128.6559,-29.655899047851562
111.0,129.36227,-18.362274169921875
125.0,125.78358,-0.7835769653320312
137.0,126.93724,10.062759399414062
142.0,131.32475,10.675247192382812
141.0,129.08896,11.911041259765625
139.0,123.084435,15.915565490722656
139.0,117.99544,21.004562377929688
138.0,116.64282,21.357177734375
138.0,115.78858,22.21141815185547
151.0,113.21449,37.78550720214844
157.0,114.61899,42.381011962890625
165.0,121.19551,43.80448913574219
134.0,120.414185,13.5858154296875
87.0,119.0585,-32.058502197265625
79.0,117.332016,-38.33201599121094
81.0,102.38537,-21.38536834716797
83.0,100.47768,-17.477676391601562
83.0,95.57924,-12.579238891601562
83.0,87.01464,-4.014640808105469
81.0,86.062996,-5.062995910644531
74.0,98.57537,-24.57537078857422
82.0,122.27358,-40.273582458496094
91.0,126.836586,-35.836585998535156
95.0,125.04428,-30.044281005859375
102.0,125.796455,-23.79645538330078
114.0,124.23517,-10.23516845703125
127.0,123.42984,3.570159912109375
134.0,125.3267,8.673301696777344
128.0,126.853424,1.146575927734375
117.0,118.34443,-1.3444290161132812
100.0,111.49348,-11.493476867675781
88.0,107.2234,-19.22339630126953
92.0,108.765755,-16.76575469970703
96.0,109.8515,-13.85150146484375
118.0,114.13284,3.867156982421875
135.0,123.63998,11.360023498535156
95.0,125.51006,-30.51006317138672
73.0,127.88726,-54.88726043701172
72.0,110.63056,-38.63056182861328
75.0,101.88736,-26.887359619140625
76.0,99.220314,-23.220314025878906
78.0,85.30514,-7.305137634277344
79.0,81.950226,-2.950225830078125
78.0,82.271126,-4.271125793457031
76.0,83.775444,-7.775444030761719
82.0,107.13544,-25.13543701171875
81.0,121.31674,-40.316741943359375
81.0,122.410576,-41.41057586669922
82.0,120.29141,-38.291412353515625
84.0,123.823524,-39.823524475097656
90.0,126.05873,-36.05873107910156
95.0,128.26907,-33.269073486328125
92.0,123.46907,-31.469070434570312
84.0,117.83326,-33.83325958251953
76.0,116.61989,-40.61988830566406
71.0,98.13514,-27.13513946533203
76.0,95.690994,-19.690994262695312
80.0,99.14544,-19.14543914794922
97.0,121.18218,-24.18218231201172
108.0,117.76254,-9.762542724609375
94.0,108.76838,-14.768379211425781
74.0,89.52713,-15.527130126953125
72.0,82.71485,-10.714851379394531
76.0,75.135895,0.864105224609375
77.0,74.09283,2.9071731567382812
78.0,76.372116,1.6278839111328125
78.0,76.72737,1.2726287841796875
79.0,76.16418,2.8358230590820312
76.0,83.149635,-7.149635314941406
91.0,96.83224,-5.832237243652344
89.0,101.97538,-12.975379943847656
84.0,110.45843,-26.45842742919922
82.0,118.76152,-36.76152038574219
84.0,121.643394,-37.643394470214844
88.0,121.00227,-33.00227355957031
92.0,119.30375,-27.303749084472656
93.0,115.482475,-22.48247528076172
92.0,117.87339,-25.873390197753906
90.0,117.80805,-27.80805206298828
87.0,119.634705,-32.63470458984375
90.0,119.75329,-29.75328826904297
92.0,119.843315,-27.84331512451172
110.0,129.1705,-19.170501708984375
138.0,130.83875,7.1612548828125
110.0,129.5698,-19.569793701171875
79.0,109.51376,-30.513763427734375
69.0,103.1002,-34.100196838378906
64.0,97.95755,-33.957550048828125
63.0,94.007675,-31.007675170898438
64.0,93.28393,-29.28392791748047
64.0,95.98447,-31.984466552734375
65.0,93.78477,-28.784767150878906
61.0,93.561775,-32.56177520751953
82.0,110.474236,-28.47423553466797
82.0,117.26786,-35.267860412597656
78.0,117.78219,-39.782188415527344
78.0,123.33644,-45.33644104003906
83.0,131.627,-48.62699890136719
92.0,132.89845,-40.89845275878906
99.0,129.58934,-30.589340209960938
97.0,125.48478,-28.484779357910156
92.0,120.63128,-28.63127899169922
86.0,116.58289,-30.58289337158203
81.0,106.877426,-25.877426147460938
88.0,106.22151,-18.221511840820312
89.0,106.35592,-17.355918884277344
108.0,120.790565,-12.790565490722656
139.0,129.65723,9.3427734375
117.0,105.42489,11.575111389160156
78.0,85.98596,-7.9859619140625
66.0,83.336716,-17.336715698242188
64.0,76.35882,-12.358818054199219
65.0,77.357956,-12.357955932617188
68.0,73.39774,-5.397743225097656
70.0,73.17908,-3.1790771484375
71.0,74.59911,-3.5991134643554688
66.0,78.873314,-12.873313903808594
91.0,81.288826,9.711174011230469
89.0,93.75889,-4.758888244628906
88.0,94.41458,-6.414581298828125
91.0,100.49374,-9.493736267089844
99.0,96.515884,2.4841156005859375
117.0,99.319984,17.680015563964844
119.0,106.45198,12.548019409179688
104.0,99.19191,4.8080902099609375
92.0,88.19584,3.8041610717773438
84.0,84.33414,-0.334136962890625
77.0,87.52887,-10.52886962890625
78.0,87.633255,-9.633255004882812
76.0,91.72722,-15.727218627929688
86.0,103.00121,-17.00121307373047
98.0,117.62598,-19.6259765625
102.0,95.37129,6.6287078857421875
79.0,83.17412,-4.1741180419921875
64.0,72.073494,-8.073493957519531
59.0,68.09343,-9.093429565429688
61.0,70.676506,-9.676506042480469
63.0,70.52396,-7.523956298828125
64.0,68.038704,-4.038703918457031
64.0,68.83492,-4.834922790527344
58.0,72.74535,-14.745353698730469
95.0,79.535965,15.464035034179688
123.0,95.30301,27.696990966796875
133.0,94.94619,38.053810119628906
141.0,92.56572,48.43428039550781
146.0,93.1311,52.868896484375
147.0,95.46215,51.53784942626953
139.0,99.21361,39.78639221191406
125.0,96.76124,28.23876190185547
113.0,90.828804,22.17119598388672
101.0,87.63162,13.368377685546875
89.0,83.48284,5.517158508300781
88.0,84.68928,3.3107223510742188
83.0,84.537834,-1.5378341674804688
95.0,104.49202,-9.492019653320312
118.0,110.63004,7.369956970214844
112.0,101.74381,10.256187438964844
86.0,74.387726,11.612274169921875
66.0,68.3677,-2.3676986694335938
65.0,68.912415,-3.91241455078125
69.0,72.53512,-3.5351181030273438
73.0,74.9248,-1.9247970581054688
77.0,73.45006,3.5499420166015625
81.0,72.94285,8.057151794433594
82.0,73.99085,8.009147644042969
124.0,83.47338,40.52661895751953
124.0,94.457695,29.54230499267578
118.0,95.755905,22.244094848632812
115.0,95.31816,19.681838989257812
115.0,97.37605,17.623947143554688
121.0,103.42544,17.574562072753906
126.0,108.05924,17.940757751464844
128.0,104.88617,23.11383056640625
130.0,92.576035,37.42396545410156
131.0,87.996826,43.003173828125
123.0,85.54542,37.45458221435547
132.0,83.91491,48.08509063720703
130.0,88.57135,41.42864990234375
143.0,110.77049,32.22950744628906
153.0,119.984474,33.015525817871094
127.0,113.56971,13.430290222167969
93.0,84.14795,8.85205078125
88.0,78.39382,9.606178283691406
86.0,74.19058,11.809417724609375
87.0,72.96804,14.031959533691406
89.0,75.120834,13.879165649414062
91.0,74.25695,16.74304962158203
93.0,72.86287,20.137130737304688
92.0,77.326645,14.673355102539062
126.0,82.697784,43.302215576171875
125.0,94.23889,30.7611083984375
123.0,90.535545,32.464454650878906
126.0,89.76721,36.2327880859375
129.0,103.846855,25.15314483642578
133.0,115.53766,17.46234130859375
133.0,113.32631,19.673690795898438
130.0,111.70562,18.29438018798828
127.0,105.190544,21.80945587158203
122.0,98.46322,23.536781311035156
116.0,97.79107,18.20893096923828
123.0,94.89136,28.108642578125
122.0,106.7254,15.27459716796875
139.0,112.28266,26.71733856201172
153.0,122.10056,30.899436950683594
126.0,122.59224,3.4077606201171875
99.0,106.57797,-7.577972412109375
93.0,92.09445,0.905548095703125
95.0,88.358665,6.641334533691406
99.0,87.544,11.456001281738281
104.0,88.21197,15.788032531738281
106.0,86.98852,19.01148223876953
106.0,87.492805,18.50719451904297
97.0,94.97566,2.0243377685546875
116.0,106.36004,9.639961242675781
119.0,120.97288,-1.9728775024414062
115.0,121.58465,-6.584648132324219
111.0,118.20611,-7.206108093261719
109.0,116.18271,-7.182708740234375
107.0,118.10865,-11.108650207519531
101.0,110.67533,-9.675331115722656
93.0,110.609924,-17.60992431640625
88.0,105.88898,-17.88897705078125
84.0,101.08058,-17.080581665039062
83.0,100.021805,-17.021804809570312
96.0,100.137276,-4.137275695800781
109.0,105.9143,3.0857009887695312
137.0,107.57422,29.42578125
153.0,116.65432,36.345680236816406
128.0,113.748,14.251998901367188
94.0,98.042404,-4.0424041748046875
87.0,88.88822,-1.8882217407226562
89.0,84.6811,4.318901062011719
95.0,88.26239,6.73760986328125
99.0,87.92331,11.076690673828125
103.0,88.87647,14.123527526855469
