feature,mean_abs_shap
hours_since_aqi_spike,9.547235
pm25,9.346436
pm25_roll_std_336,2.544416
doy_cos,2.0014477
wind_speed_roll_std_24,1.4652525
pm25_roll_max_72,1.2904817
month_cos,0.91690844
doy_sin,0.7578178
pm25_roll_mean_336,0.7176713
pm10,0.7046097
co_change_24h,0.5362953
aqi_roll_min_72,0.5339883
pm25_lag_1,0.5211055
temperature_roll_mean_24,0.47805217
humidity_roll_mean_24,0.3888395
co,0.3843589
pm25_roll_std_72,0.37220612
aqi_roll_min_24,0.36521155
weekday_sin,0.3635467
aqi_lag_1,0.36298913
temperature,0.36019263
pressure,0.3337847
cloud_cover_roll_mean_24,0.31870326
aqi_roll_max_72,0.30907536
pm10_roll_std_24,0.2922078
hour_cos,0.28428394
o3,0.2643885
pm25_roll_mean_168,0.25861713
rain_24h,0.25756583
pm25_lag_24,0.25656497
temperature_roll_std_24,0.2544438
wind_gusts_roll_max_24,0.24467178
pm10_change_24h,0.24134675
aqi_same_hour_30days_ago,0.24046326
aqi_roll_mean_336,0.23622604
so2_roll_mean_24,0.23425598
wind_direction,0.22925708
aqi_lag_48,0.22099805
pm25_roll_mean_72,0.21134259
hour_sin,0.20947851
humidity,0.20723969
wind_x,0.20175901
aqi_same_day_last_year,0.20082773
no2_roll_std_24,0.19785134
pm10_roll_mean_72,0.1967056
no2,0.17673619
wind_speed_roll_mean_24,0.17625313
no2_change_24h,0.17527676
o3_roll_mean_24,0.16835475
temperature_lag_24,0.15929036
rain_72h,0.15898961
month_sin,0.1581776
aqi_momentum_24_168,0.15809113
pm25_lag_336,0.15412535
pressure_roll_mean_24,0.1483068
pm10_roll_mean_24,0.14784978
weekday_cos,0.14102755
so2_change_24h,0.13014808
aqi_lag_336,0.1285303
wind_speed_lag_24,0.12836988
week_of_year,0.1264848
o3_roll_std_24,0.12618734
temp_humidity,0.11684691
pm25_lag_72,0.11546576
co_roll_mean_24,0.11156483
aqi_roll_mean_168,0.10995314
pressure_change_24h,0.10712924
pm10_lag_72,0.10631353
pm25_roll_max_24,0.105766274
pm25_roll_std_168,0.103955485
aqi_lag_12,0.10344662
aqi_lag_24,0.09653059
aqi_roll_mean_72,0.09485878
pm10_lag_1,0.094011925
humidity_lag_24,0.091167845
cloud_cover,0.09031054
aqi_change_6h,0.09016346
aqi_roll_std_168,0.08964303
no2_roll_mean_24,0.08871166
aqi_same_hour_yesterday,0.08778908
aqi_roll_std_72,0.08295291
pm25_roll_mean_24,0.082867414
aqi_diff_24_168,0.08285845
pm10_lag_24,0.08129474
pressure_lag_1,0.07835121
pm25_lag_12,0.07745012
aqi_ewm_72,0.07521107
pm25_lag_48,0.073212184
so2,0.072360456
pm25_pm10_ratio,0.07035818
aqi_lag_3,0.06887307
wind_gusts_roll_mean_24,0.06821388
pm25_trend_ratio,0.06705304
no2_o3_ratio,0.065615065
wind_speed_lag_6,0.06416579
aqi_roll_min_168,0.06367516
temperature_lag_1,0.06283276
aqi_lag_168,0.061017063
aqi_persistence,0.060359612
aqi_momentum_24_72,0.059709143
pm10_lag_6,0.057119012
heat_dryness,0.057068005
aqi_roll_mean_48,0.056650396
pm25_change_24h,0.05543142
o3_change_24h,0.054576732
wind_dir_sin,0.054116078
aqi_roll_mean_12,0.053076953
humidity_lag_6,0.05288418
aqi_change_1h,0.050349813
wind_dir_cos,0.04912137
pm25_vs_24h_avg,0.04896122
aqi_lag_72,0.048440523
humidity_lag_1,0.04786593
aqi_same_hour_2weeks_ago,0.046932302
aqi_zscore_72h,0.046162684
pm25_lag_168,0.045338918
cloud_cover_lag_1,0.04491345
pm25_ewm_24,0.043914106
aqi_roll_mean_24,0.043655418
temperature_change_24h,0.040960714
wind_y,0.039291974
wind_dispersal,0.03749247
wind_speed_change_24h,0.037005305
humidity_change_24h,0.036306802
wind_gusts,0.036115702
aqi_trend_slope_6h,0.03507182
aqi_persistence_ratio,0.034013595
aqi_lag_2,0.031661198
aqi_vs_week,0.030707993
aqi_volatility_ratio,0.028476967
aqi_roll_std_24,0.026369954
aqi_trend_ratio,0.026361682
pm25_lag_3,0.025015889
aqi_roll_max_168,0.02490218
aqi_change_24h,0.024358902
aqi_roll_max_24,0.024003642
aqi_momentum_6_24,0.02279784
aqi_same_hour_3days_ago,0.022754539
pm25_lag_6,0.020973058
aqi_ewm_24,0.020771855
pm25_vs_72h_avg,0.02063913
pm25_fraction,0.020281596
wind_speed,0.018737247
temperature_lag_6,0.018672679
pm25_lag_2,0.015702296
is_weekend,0.015499061
aqi_roll_mean_6,0.01467052
wind_speed_lag_1,0.014377066
pm25_roll_std_24,0.013926495
aqi_acceleration,0.01355141
aqi_lag_7,0.011791902
aqi_same_hour_last_week,0.011192605
aqi_recovery_rate,0.011079112
pm25_roll_std_6,0.010844826
quarter,0.009762571
pm25_roll_mean_6,0.009598543
precipitation,0.009262951
aqi_percentile_72,0.008826889
aqi_lag_6,0.006650933
is_rush_hour,0.005691385
spike_count_72h,0.004061266
aqi_above_recent_q90,0.0035166824
dust_hours_72h,0.0018623373
consecutive_hours_above_150,0.0003467188
dust_event,0.0
aqi_regime,0.0
