feature,mean_abs_shap
pm25,6.272474
pm25_roll_mean_168,5.0873733
doy_cos,4.4175124
pm25_roll_std_336,2.6951232
co,1.988732
wind_speed_roll_mean_24,1.7083654
month_sin,1.5464103
month_cos,1.504417
cloud_cover_roll_mean_24,1.4671204
pm25_roll_mean_336,1.4264479
wind_gusts_roll_max_24,1.3624539
pm25_roll_std_168,1.0615994
o3_roll_mean_24,1.0558674
pm10_roll_mean_72,0.9866425
so2_roll_mean_24,0.9710246
aqi_lag_1,0.9645549
aqi_roll_min_168,0.9224676
aqi_same_hour_30days_ago,0.9006227
aqi_lag_24,0.8822013
aqi_roll_max_72,0.8422743
humidity_roll_mean_24,0.77262276
pm25_pm10_ratio,0.7266567
temperature_roll_mean_24,0.70015955
pm25_lag_24,0.6843551
o3_roll_std_24,0.66069204
aqi_roll_min_24,0.65078354
pm25_lag_72,0.63723165
no2_o3_ratio,0.6282636
hour_cos,0.62057346
pm25_roll_mean_24,0.601777
wind_speed_roll_std_24,0.5568195
pm25_lag_336,0.5079015
hour_sin,0.48805928
pm25_roll_mean_72,0.46209157
pm10_lag_72,0.45596558
weekday_sin,0.45433137
aqi_trend_ratio,0.4519988
hours_since_aqi_spike,0.41021648
pm25_roll_std_72,0.39390677
aqi_change_6h,0.38425088
no2_roll_std_24,0.3621527
no2_roll_mean_24,0.3618205
pressure_change_24h,0.36127812
no2,0.36099383
o3,0.35878667
temperature_roll_std_24,0.35090014
quarter,0.3472184
pressure,0.3459147
pm10_roll_mean_24,0.32480466
wind_direction,0.316396
humidity_lag_24,0.2993272
rain_24h,0.29636776
humidity,0.29129896
rain_72h,0.28898588
pm25_lag_168,0.28041086
no2_change_24h,0.2723602
aqi_roll_min_72,0.2587841
weekday_cos,0.25699985
aqi_lag_336,0.25655887
aqi_roll_mean_48,0.25056833
co_roll_mean_24,0.24145313
spike_count_72h,0.23777562
aqi_lag_72,0.23056728
aqi_momentum_24_168,0.22959837
aqi_roll_max_168,0.22700296
temp_humidity,0.22662279
pm25_vs_72h_avg,0.22035356
o3_change_24h,0.20922245
aqi_persistence_ratio,0.20757735
wind_speed_lag_6,0.20542799
temperature_lag_6,0.18665682
pm10,0.18551396
wind_speed,0.18265629
wind_x,0.18192339
heat_dryness,0.18189742
aqi_roll_std_72,0.18169664
pm10_change_24h,0.1799666
pm25_lag_48,0.17880419
aqi_change_1h,0.17147705
wind_dir_sin,0.17091519
pm10_roll_std_24,0.17011017
humidity_lag_6,0.15959892
aqi_lag_168,0.1574459
aqi_roll_std_168,0.15655869
wind_dir_cos,0.1523456
aqi_lag_48,0.15128538
so2_change_24h,0.14695217
aqi_diff_24_168,0.1462754
pm10_lag_24,0.14031406
humidity_change_24h,0.13836405
co_change_24h,0.12683958
temperature_change_24h,0.12263786
temperature,0.12209977
wind_dispersal,0.11804959
pm25_lag_12,0.116067894
aqi_zscore_72h,0.114275694
aqi_percentile_72,0.112434894
pm25_vs_24h_avg,0.111527056
so2,0.109282665
pm25_change_24h,0.10845066
pm25_roll_max_24,0.105597325
wind_speed_lag_24,0.10505948
aqi_roll_std_24,0.10279176
aqi_volatility_ratio,0.10174544
aqi_recovery_rate,0.09384435
cloud_cover_lag_1,0.09183177
pm25_roll_std_24,0.087394714
pm10_lag_6,0.08295104
cloud_cover,0.08283965
aqi_trend_slope_6h,0.07537864
aqi_lag_12,0.07406784
wind_gusts,0.07324935
aqi_change_24h,0.07144087
aqi_regime,0.07055672
aqi_momentum_6_24,0.06117277
wind_speed_change_24h,0.06021154
aqi_roll_max_24,0.05074959
pm25_roll_std_6,0.05066
wind_y,0.041295126
aqi_lag_6,0.034210477
aqi_acceleration,0.0338434
pm25_lag_6,0.033148173
is_rush_hour,0.026966574
dust_hours_72h,0.01310445
is_weekend,0.009591351
consecutive_hours_above_150,0.009584426
precipitation,0.0016609665
aqi_above_recent_q90,0.0009137087
dust_event,0.0
